Temperature_Type,Region,Season,1962 to 1971,1972 to 1981,1982 to 1991, 1992 to 2001,2002 to 2011,2012 to 2021,1962 - 2022
Tmax,Koshi Basin,Winter,0.019299945,-0.151629777,0.032437543,0.197094114,0.063838208,-0.121101876,0.001355168
Tmax,Koshi Basin,annual,-0.011144061,-0.147902004,0.020108361,0.095703385,0.084169551,-0.118583845,-0.001629023
Tmax,Middle Mountain,Monsoon,-0.022278255,-0.090517429,-0.049235571,0.033241203,0.14107125,-0.286797817,-0.003779774
Tmax,Middle Mountain,Postmonsoon,-0.054223516,-0.124941646,0.037623751,0.150532708,0.231524936,-0.23294819,0.02332402
Tmax,Middle Mountain,Premonsoon,-0.002824539,-0.178558415,-0.015288717,0.031322437,0.249405276,-0.402696566,0.012463227
Tmax,Middle Mountain,Winter,0.015589001,-0.149115496,-0.019359648,0.205748674,0.182683794,-0.522325911,0.031113687
Tmax,Middle Mountain,annual,-0.015934327,-0.135783247,-0.011565046,0.105211256,0.201171314,-0.361192121,0.01578029
Tmax,Siwalik,Monsoon,-0.022278255,-0.249476532,0.230967325,-0.017870239,-0.087148222,-0.185465701,-0.055230798
Tmax,Siwalik,Postmonsoon,-0.054223516,-0.232626619,0.367703146,0.081523038,0.002472102,-0.223227505,-0.013531487
Tmax,Siwalik,Premonsoon,-0.002824539,-0.178558415,0.140349504,0.028874803,0.05560553,-0.272801732,-0.010608449
Tmax,Siwalik,Winter,0.015589001,-0.149115496,0.241458102,0.199657163,-0.104913268,-0.025694074,-0.025667708
Tmax,Siwalik,annual,-0.015934327,-0.202444266,0.245119519,0.073046191,-0.033495965,-0.176797253,-0.02625961
Tmax,Tarai,Monsoon,-0.022278255,-0.090517429,-0.087120503,0.033241203,0.048217801,0.048488144,-0.018281449
Tmax,Tarai,Postmonsoon,-0.054223516,-0.124941646,0.023847378,0.150532708,0.063872683,0.126880832,0.002710858
Tmax,Tarai,Premonsoon,-0.002824539,-0.178558415,-0.068591139,0.031322437,0.166543166,-0.132574806,0.006741458
Tmax,Tarai,Winter,0.015589001,-0.149115496,-0.009117401,0.205748674,0.084477063,-0.018024874,-0.000974397
Tmax,Tarai,annual,-0.015934327,-0.135783247,-0.035245417,0.105211256,0.090777678,0.006192324,-0.002450882
Tmin,High Mountain,Monsoon,0.010667635,0.000819713,-0.05661814,-0.026152445,-0.021698571,0.121590561,-0.015960427
Tmin,High Mountain,Postmonsoon,-0.099311577,-0.037129657,0.12513811,0.025287446,0.008538992,0.217069394,-0.001110213
Tmin,High Mountain,Premonsoon,0.02088686,0.099320354,-0.016148139,-0.002126366,0.064693021,0.02906514,0.003989971
Tmin,High Mountain,Winter,-0.073738525,0.112261345,0.179893677,-0.014135292,-0.000926787,0.108523251,-0.018550181
