year,season,station,lat,long,elevation,Tmin,Tmax,Tavg
1967,Winter,1225,27.81667,86.71667,3700.0,-7.9883800967251455,4.545353184814815,-1.721513455955165
1967,Winter,1303,27.29209694,87.31696583,1277.0,7.761119903274854,20.294853184814816,14.027986544044834
1967,Winter,1304,27.046316,87.292473,1720.0,4.881619903274853,17.415353184814816,11.148486544044834
1967,Winter,1307,26.98321944,87.34595556,1192.0,8.313619903274853,20.847353184814814,14.580486544044835
1967,Winter,1314,27.12304,87.53619,1525.0,6.149119903274853,18.682853184814814,12.415986544044832
1967,Winter,1316,26.82044,87.15917,105.0,15.379119903274853,27.912853184814818,21.645986544044835
1967,Winter,1327,27.39106194,87.20438389,1064.0,9.145619903274854,21.679353184814815,15.412486544044835
1967,Winter,1401,27.68333,87.78333,3119.0,-7.324444444444444,6.359999999999999,-0.4822222222222221
1967,Winter,1405,27.35861111,87.67,1744.0,5.28,15.15111111111111,10.215555555555556
1967,Winter,1419,27.14367389,87.765595,1157.0,8.541119903274854,21.074853184814817,14.807986544044835
1967,Winter,9999,27.961111,86.808889,5200.0,-13.727525807017544,0.6371103333333336,-6.545207736842105
1968,Monsoon,1016,27.94456111,85.59513611,2574.0,12.400001428242739,21.138626607923495,16.76931401808312
1968,Monsoon,1024,27.61611667,85.56550278,1543.0,19.101501428242738,27.840126607923498,23.470814018083118
1968,Monsoon,1036,27.6451338,85.620881,857.0,23.560501428242738,32.2991266079235,27.929814018083118
1968,Monsoon,1103,27.63044722,86.23211389,1877.0,17.771851395024445,24.744773509562844,21.258312452293644
1968,Monsoon,1123,27.39470278,86.06123333,497.0,25.900501428242734,34.6391266079235,30.269814018083117
1968,Monsoon,1124,27.63333333,86.13333333,1755.0,17.723501428242738,26.462126607923498,22.092814018083118
1968,Monsoon,1201,27.81667,86.71667,3450.0,7.137704918032787,16.065573770491802,11.601639344262296
1968,Monsoon,1206,27.30812083,86.504225,1731.0,16.73346813934426,23.913060426229507,20.323264282786884
1968,Monsoon,1212,26.730538,86.934812,101.0,28.47450142824274,37.2131266079235,32.843814018083116
1968,Monsoon,1218,27.83333,86.76667,3857.0,4.0605014282427385,12.799126607923498,8.429814018083118
1968,Monsoon,1219,27.50511778,86.586215,2383.0,13.641501428242737,22.380126607923497,18.010814018083117
1968,Monsoon,1222,27.21252194,86.79188583,1612.0,18.65300142824274,27.391626607923495,23.022314018083115
1968,Monsoon,1225,27.81667,86.71667,3700.0,5.081001428242739,13.819626607923498,9.450314018083118
1968,Monsoon,1303,27.29209694,87.31696583,1277.0,20.83050142824274,29.569126607923497,25.199814018083117
1968,Monsoon,1304,27.046316,87.292473,1720.0,17.951001428242737,26.689626607923497,22.320314018083117
1968,Monsoon,1307,26.98321944,87.34595556,1192.0,21.383001428242736,30.1216266079235,25.752314018083116
1968,Monsoon,1314,27.12304,87.53619,1525.0,19.21850142824274,27.957126607923495,23.587814018083115
1968,Monsoon,1316,26.82044,87.15917,105.0,28.448501428242736,37.187126607923496,32.81781401808312
1968,Monsoon,1327,27.39106194,87.20438389,1064.0,22.21500142824274,30.9536266079235,26.58431401808312
1968,Monsoon,1401,27.68333,87.78333,3119.0,8.857501428242738,17.596126607923498,13.226814018083118
1968,Monsoon,1405,27.35861111,87.67,1744.0,16.961740945930398,24.08886025136612,20.525300598648258
1968,Monsoon,1419,27.14367389,87.765595,1157.0,21.61050142824274,30.3491266079235,25.97981401808312
1968,Monsoon,9999,27.961111,86.808889,5200.0,-3.9627582571182054,9.522865081967213,2.780053412424504
1968,Postmonsoon,1016,27.94456111,85.59513611,2574.0,4.487821796404947,16.907787182513662,10.697804489459303
1968,Postmonsoon,1024,27.61611667,85.56550278,1543.0,11.189321796404945,23.60928718251366,17.399304489459304
1968,Postmonsoon,1036,27.6451338,85.620881,857.0,15.648321796404947,28.06828718251366,21.858304489459304
1968,Postmonsoon,1103,27.63044722,86.23211389,1877.0,8.274960384037962,20.837786318032787,14.556373351035376
1968,Postmonsoon,1123,27.39470278,86.06123333,497.0,17.988321796404943,30.40828718251366,24.198304489459304
1968,Postmonsoon,1124,27.63333333,86.13333333,1755.0,9.811321796404945,22.23128718251366,16.021304489459304
1968,Postmonsoon,1201,27.81667,86.71667,3450.0,-2.1491803278688524,10.754098360655737,4.302459016393443
