year,regions,lat,long,elevation,Tmin,Tmax,Tavg
1966,Hill,27.61611667,85.56550278,1543.0,12.853585102585917,24.22427700191781,18.53893105225186
1966,Hill,27.63044722,86.23211389,1877.0,9.360742001341023,20.720623380365296,15.04068269085316
1966,Hill,27.63333333,86.13333333,1755.0,11.475585102585917,22.84627700191781,17.160931052251865
1966,Hill,27.6451338,85.620881,857.0,17.312585102585917,28.68327700191781,22.99793105225186
1966,Middle Mountain,27.50511778,86.586215,2383.0,7.3935851025859165,18.764277001917808,13.078931052251862
1966,Middle Mountain,27.94456111,85.59513611,2574.0,6.152085102585917,17.52277700191781,11.837431052251862
1966,Siwalik,26.730538,86.934812,101.0,22.226585102585915,33.59727700191781,27.911931052251862
1966,Tarai,26.82044,87.15917,105.0,22.20058510258592,33.57127700191781,27.885931052251863
1967,High Mountain,27.68333,87.78333,3119.0,-1.0245464547752945,11.615563877716896,5.2955087114708
1967,High Mountain,27.81667,86.71667,3450.0,0.9819178082191782,10.655024932602739,5.8184713704109585
1967,High Mountain,27.81667,86.71667,3700.0,-1.9370480379524146,9.563384164018265,3.8131680630329257
1967,High Mountain,27.83333,86.76667,3857.0,-2.9575480379524146,8.542884164018265,2.7926680630329255
1967,High Mountain,27.961111,86.808889,5200.0,-9.813580133717856,6.5651975543378995,-1.6241912896899786
1967,Hill,26.98321944,87.34595556,1192.0,14.364951962047584,25.865384164018263,20.115168063032925
1967,Hill,27.046316,87.292473,1720.0,10.932951962047584,22.433384164018264,16.683168063032923
1967,Hill,27.12304,87.53619,1525.0,12.200451962047584,23.700884164018262,17.950668063032925
1967,Hill,27.14367389,87.765595,1157.0,14.592451962047585,26.092884164018265,20.342668063032924
1967,Hill,27.21252194,86.79188583,1612.0,11.634951962047584,23.135384164018266,17.385168063032925
1967,Hill,27.29209694,87.31696583,1277.0,13.812451962047586,25.312884164018268,19.562668063032923
1967,Hill,27.30812083,86.504225,1731.0,11.433424657534246,21.09854560849315,16.265985133013697
1967,Hill,27.35861111,87.67,1744.0,11.234467503196345,20.07424564584475,15.654356574520547
1967,Hill,27.39106194,87.20438389,1064.0,15.196951962047585,26.697384164018263,20.947168063032926
1967,Hill,27.39470278,86.06123333,497.0,18.882451962047583,30.382884164018265,24.632668063032927
1967,Hill,27.61611667,85.56550278,1543.0,12.083451962047585,23.583884164018265,17.833668063032924
1967,Hill,27.63044722,86.23211389,1877.0,8.579528391828887,20.385227365114154,14.482377878471521
