year,regions,lat,long,elevation,Tmin,Tmax,Tavg
1962,Hill,27.63044722,86.23211389,1877.0,2.8022462807017536,28.371234,16.6435715777217
1962,Hill,27.63333333,86.13333333,1755.0,3.5952462807017533,29.164234,17.4365715777217
1962,Hill,27.6451338,85.620881,857.0,9.432246280701754,35.001234000000004,23.273571577721704
1962,Middle Mountain,27.50511778,86.586215,2383.0,-0.4867537192982467,25.082234,13.354571577721702
1962,Middle Mountain,27.94456111,85.59513611,2574.0,-1.7282537192982457,23.840734,12.113071577721701
1962,Siwalik,26.730538,86.934812,101.0,14.346246280701754,39.91523399999999,28.187571577721698
1962,Tarai,26.82044,87.15917,105.0,14.320246280701753,39.889234,28.161571577721702
1963,High Mountain,27.68333,87.78333,3119.0,-7.7,19.5,7.568040729440039
1963,High Mountain,27.81667,86.71667,3450.0,-7.346486342105262,17.4557005,6.140650718180726
1963,High Mountain,27.81667,86.71667,3700.0,-8.971486342105262,15.8307005,4.515650718180726
1963,High Mountain,27.83333,86.76667,3857.0,-9.991986342105264,14.8102005,3.495150718180726
1963,High Mountain,27.961111,86.808889,5200.0,-17.229498,11.924601999999998,-1.71773912247056
1963,Hill,26.98321944,87.34595556,1192.0,7.330513657894737,32.1327005,20.817650718180726
1963,Hill,27.046316,87.292473,1720.0,3.898513657894736,28.7007005,17.385650718180727
1963,Hill,27.12304,87.53619,1525.0,5.166013657894736,29.9682005,18.653150718180726
1963,Hill,27.14367389,87.765595,1157.0,7.558013657894736,32.3602005,21.045150718180725
1963,Hill,27.21252194,86.79188583,1612.0,4.600513657894736,29.4027005,18.087650718180726
1963,Hill,27.29209694,87.31696583,1277.0,6.778013657894736,31.5802005,20.265150718180728
1963,Hill,27.30812083,86.504225,1731.0,1.7,26.6,15.758118655707761
1963,Hill,27.35861111,87.67,1744.0,2.3,28.273634,15.993182610045663
1963,Hill,27.39106194,87.20438389,1064.0,8.162513657894737,32.9647005,21.649650718180727
1963,Hill,27.39470278,86.06123333,497.0,11.848013657894736,36.6502005,25.335150718180724
1963,Hill,27.61611667,85.56550278,1543.0,5.049013657894736,29.8512005,18.536150718180725
1963,Hill,27.63044722,86.23211389,1877.0,2.8780136578947366,27.6802005,16.365150718180725
1963,Hill,27.63333333,86.13333333,1755.0,3.671013657894736,28.4732005,17.158150718180725
1963,Hill,27.6451338,85.620881,857.0,9.508013657894736,34.31020049999999,22.995150718180724
1963,Middle Mountain,27.50511778,86.586215,2383.0,-0.4109863421052639,24.3912005,13.076150718180724
1963,Middle Mountain,27.94456111,85.59513611,2574.0,-1.6524863421052638,23.1497005,11.834650718180727
1963,Siwalik,26.730538,86.934812,101.0,14.422013657894734,39.2242005,27.909150718180726
1963,Tarai,26.82044,87.15917,105.0,14.396013657894734,39.1982005,27.883150718180726
1964,High Mountain,27.68333,87.78333,3119.0,-8.8,21.0,7.819107455229604
1964,High Mountain,27.81667,86.71667,3450.0,-8.7582495,17.461938,6.432821694504362
1964,High Mountain,27.81667,86.71667,3700.0,-10.3832495,15.836938,4.807821694504362
1964,High Mountain,27.83333,86.76667,3857.0,-11.403749499999998,14.816438,3.787321694504363
1964,High Mountain,27.961111,86.808889,5200.0,-16.898050631578947,12.481402,-1.6314709504362
1964,Hill,26.98321944,87.34595556,1192.0,5.9187505,32.138938,21.10982169450436
1964,Hill,27.046316,87.292473,1720.0,2.486750499999999,28.706938,17.677821694504363
1964,Hill,27.12304,87.53619,1525.0,3.7542505,29.974438,18.94532169450436
1964,Hill,27.14367389,87.765595,1157.0,6.146250499999999,32.366438,21.33732169450436
1964,Hill,27.21252194,86.79188583,1612.0,3.1887505,29.408938,18.37982169450436
1964,Hill,27.29209694,87.31696583,1277.0,5.3662505,31.586438,20.55732169450436
1964,Hill,27.30812083,86.504225,1731.0,0.0,28.1,16.365163934426228
1964,Hill,27.35861111,87.67,1744.0,0.1,28.1,16.217486338797816
1964,Hill,27.39106194,87.20438389,1064.0,6.7507505,32.970938000000004,21.941821694504362
1964,Hill,27.39470278,86.06123333,497.0,10.436250499999998,36.656438,25.62732169450436
