naming,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,1962 to 1971,1972 to 1981,1982 to 1991, 1992 to 2001,2002 to 2011,2012 to 2021,1977 to 1994, 1980 to 2018,1988 to 2010, 1976 to 2005,1981-2010,1977-2000,1962 - 2022,Total count
Tavg Siwalik Monsoon,32.89730171,32.58088847,32.75010099,32.06662119,32.35890368,32.73839319,32.84381402,32.52596982,32.52500625,32.3646742,32.87267908,32.81381891,31.97021508,32.37719514,32.26783962,32.97898296,32.50736133,32.35586056,32.49546535,29.54631279,28.47843012,28.78770492,28.44180328,28.49877049,29.0295082,28.73114754,28.61598361,28.07868852,30.81190295,29.14737298,31.53078619,29.81214638,30.41946282,29.50737705,29.9376838,29.87827869,30.00606299,29.59713115,31.15505363,30.21762295,29.68196721,31.7840355,29.66202127,30.10491803,29.71229508,29.5602459,29.45491803,29.83999594,28.7147541,28.93694961,30.44221311,28.95245902,29.22172131,29.69016393,31.06154045,30.05081967,30.01352459,29.89877049,29.34672131,29.05735872,28.79590164,-0.021784309,-0.176581225,0.111682284,-0.030867418,-0.178195782,-0.038540887,-0.126277364,0.013028033,0.005135194,-0.032602198,0.040696204,-0.050067752,-0.057232577,61
Tavg Siwalik Postmonsoon,27.38089438,26.82283835,27.72423416,26.74593333,26.10902621,25.17228095,26.77230449,26.64719483,26.46566296,26.71907558,27.03737767,26.80091776,27.22584961,26.68203761,27.12709983,26.89746622,26.3886044,26.60499846,26.50146483,23.59508197,23.60163934,23.72377049,22.77868852,23.54508197,23.94590164,25.66591381,24.98688525,25.77377049,26.42339434,25.89506204,26.03374616,25.35737705,25.8897338,25.77868852,25.3313775,24.66065574,26.89672131,25.72540984,25.79180328,25.64344262,27.22213115,26.67001765,25.54763001,25.41557377,25.75901639,26.05737705,24.8852459,25.03770492,24.72131148,25.11393443,24.63887765,24.58032787,24.26065574,25.73032787,26.47310457,25.95774988,23.70491803,24.49590164,24.80819672,24.75737705,24.65737705,-0.089087426,-0.226006187,0.367024261,0.008424295,-0.220951285,-0.016689564,0.009640069,0.018908573,-0.015823119,0.023770378,0.06323858,0.028911865,-0.028909491,61
Tavg Siwalik Premonsoon,28.1595017,27.52353662,28.45089051,27.78178602,28.48597394,26.63436899,28.21627974,28.53680683,28.26087936,27.41447361,28.95863029,28.83173098,28.39345861,28.06447844,28.2056653,28.15428148,27.73030839,28.58008929,28.4467605,27.5869378,25.48043478,23.85815217,25.95,25.79849608,25.24728261,24.92841278,25.2076087,24.51195652,23.90597826,27.00945422,27.94921642,27.00278741,27.07815374,27.52445652,27.13152174,26.07826087,26.70545885,27.67391304,27.97849894,26.85543478,26.70978261,27.82098877,26.71086957,26.94402174,26.93967391,27.10652174,26.32336957,27.1451087,27.42336957,25.68586957,26.37759971,25.75054348,26.95326087,26.38048038,27.60380435,26.62554348,26.99293478,26.38913043,25.57663043,25.93641304,27.07663043,-0.010075127,-0.091883432,0.029177019,-0.021487948,-0.06983312,-0.043331037,-0.092874488,0.027615054,0.06593917,0.002664137,0.070538193,0.001577964,-0.026354005,61
Tavg Siwalik Winter,22.13438447,22.59717633,22.21817265,22.34879151,22.21374325,21.9262335,21.61126427,22.31059805,21.73106183,21.88746748,22.3999678,23.43407448,21.9021712,20.49556267,21.61863912,22.43510615,21.08824314,21.84862071,21.16620969,22.35422399,17.26833333,16.66872462,16.37969513,15.94888889,17.60906126,17.10277778,18.28713526,16.51853613,15.62166667,21.03119542,18.17545573,20.82467917,18.90775664,18.65791499,18.89233964,17.91657927,18.48454992,19.93253334,20.02327112,18.75433624,19.26814737,21.21517885,20.6154081,20.66686644,20.32992322,19.09431361,18.17184411,19.86388889,18.79520291,17.38423036,17.21208791,18.21736387,18.12087145,18.71002929,18.81629999,20.5246908,19.06695975,18.48582813,17.53383031,18.51992203,18.1014585,-0.062563751,-0.084606011,0.204478871,0.019564219,-0.281050651,0.070240835,-0.172419841,0.025504902,0.082749191,-0.012863053,0.084451785,-0.061586071,-0.064164542,46
Tavg Siwalik annual,27.64302057,27.38110994,27.78584958,27.23578301,27.29191177,26.61781916,27.36091563,27.50514238,27.2456526,27.09642272,27.81716371,27.97013553,27.37292362,26.90481846,27.30481097,27.61645921,26.92862932,27.34739225,27.15247509,25.77063914,23.7072094,23.25958805,23.38754673,23.44780936,23.95793843,24.10706298,24.2744032,23.72073792,24.19073555,25.77077117,25.92230112,25.7492475,25.57377675,25.36710927,25.32323067,24.63344364,25.52319827,25.73224684,26.23715674,25.36770915,25.72050709,26.87255519,25.63398223,25.782845,25.68522715,25.45461457,24.7088444,25.47167461,24.91365951,24.28024599,24.6676946,24.37517356,24.63912734,25.12775037,25.98868734,25.78970096,24.94458429,24.81740767,24.31634469,24.56776771,24.65784191,-0.045877653,-0.144769214,0.178090609,-0.006091713,-0.18750771,-0.007080163,-0.095482906,0.021264141,0.034500109,-0.004757684,0.064731191,-0.020290999,-0.044165154,61
Tavg Tarai Monsoon,32.87130171,32.55488847,32.72410099,32.04062119,32.33290368,32.71239319,32.81781402,32.49996982,32.49900625,32.3386742,32.84667908,32.78781891,31.94421508,32.35119514,32.24183962,32.95298296,32.48136133,32.32986056,32.46946535,31.84010452,31.84187911,31.8427971,31.23305545,31.46454748,31.44329061,31.10520098,31.19878942,30.73144164,31.61666509,31.23640692,31.50478619,31.17743887,31.87735901,31.48451071,31.35391946,31.48534302,31.81138544,31.39293212,31.68731509,31.3214278,31.42880822,31.7580355,31.28514777,31.83510396,31.66522763,31.60876348,31.62636022,32.02590227,31.56862599,31.50529308,31.86714225,31.56614376,29.50122951,29.79918033,31.56007015,32.03056164,32.05317879,32.16076358,31.92478434,31.86477028,32.17581183,-0.021784309,-0.050047131,-0.064700646,0.003689826,0.014445905,0.13951087,-0.07795968,-0.006712529,0.022780441,-0.026936008,0.007650518,-0.039257877,-0.019898647,61
Tavg Tarai Postmonsoon,27.35489438,26.79683835,27.69823416,26.71993333,26.08302621,25.14628095,26.74630449,26.62119483,26.43966296,26.69307558,27.01137767,26.77491776,27.19984961,26.65603761,27.10109983,26.87146622,26.3626044,26.57899846,26.47546483,25.78502059,25.35455101,26.20938914,25.92486116,25.57536942,25.77400756,26.41980289,26.45940898,26.11379353,26.39739434,26.02946794,26.00774616,26.32147246,25.77138637,26.53251623,26.40478925,25.23400501,27.88760085,26.64504592,26.89537961,26.48389687,26.61690185,26.64401765,25.52163001,26.19385495,26.16437206,27.0613323,26.81191718,26.71519779,26.83767887,26.57394085,26.0533233,26.18360849,24.60819672,25.22704918,26.44710457,27.10233246,26.22068095,27.19345145,27.77994223,27.33486753,27.13821101,-0.089087426,-0.105136807,0.07050221,0.094336205,0.058714942,0.238003825,-0.018463321,0.008057746,0.023549834,0.003246121,0.031624015,0.016301111,-0.000870261,61
Tavg Tarai Premonsoon,28.1335017,27.49753662,28.42489051,27.75578602,28.45997394,26.60836899,28.19027974,28.51080683,28.23487936,27.38847361,28.93263029,28.80573098,28.36745861,28.03847844,28.1796653,28.12828148,27.70430839,28.55408929,28.4207605,27.5609378,27.257973,27.03212619,28.41213907,28.22662425,26.94512909,26.97362682,27.65039803,27.55863498,26.52995127,27.98518659,28.40566472,26.97678741,28.01777529,28.67925141,28.42573184,27.02226416,27.55250135,29.12309696,27.95249894,27.7774958,27.62041175,27.79498877,28.29621918,27.86749621,27.93407772,28.07927731,28.21137842,28.3291389,29.94796397,28.03565181,28.51878573,28.49733676,27.17814174,26.625,28.77967327,28.09950794,28.01071229,28.12126449,27.39596348,28.28031115,29.58034757,-0.010075127,-0.091883432,-0.017806082,0.01163243,0.122117768,-0.0100806,-0.030126078,0.017813104,0.047684435,0.003867386,0.038909365,0.007543582,0.003936828,61
Tavg Tarai Winter,22.10838447,22.57117633,22.19217265,22.32279151,22.18774325,21.9002335,21.58526427,22.28459805,21.70506183,21.86146748,22.3739678,23.40807448,21.8761712,20.46956267,21.59263912,22.40910615,21.06224314,21.82262071,21.14020969,22.32822399,20.45619488,20.02318924,20.61373121,20.60587718,20.99497818,21.287089,21.72978994,20.52890817,20.65080095,21.37338511,20.19761098,20.79867917,21.09076471,20.17178003,20.78038098,20.22179504,20.75578637,22.31222507,20.78739071,21.16360128,21.23713518,21.0387774,20.98192435,21.25469412,22.2104461,20.81018052,20.76298294,22.51520539,21.86896441,20.86080813,20.92414442,21.54680719,21.30667588,19.23296583,20.39700814,22.30205168,21.89739413,21.18201083,20.68959617,22.24262385,21.33749966,-0.062563751,-0.084606011,0.096289261,0.096458354,0.043729525,0.091762672,-0.050124972,0.011888609,0.040447723,-0.014575263,0.024589283,-0.028050212,-0.015041052,61
Tavg Tarai annual,27.61702057,27.35510994,27.75984958,27.20978301,27.26591177,26.59181916,27.33491563,27.47914238,27.2196526,27.07042272,27.79116371,27.94413553,27.34692362,26.87881846,27.27881097,27.59045921,26.90262932,27.32139225,27.12647509,26.87857172,26.2276495,26.27687542,26.54594672,26.46810458,26.28935136,26.44642992,26.75959659,26.23319458,26.29870291,26.65611164,26.52895201,26.31859448,26.68932134,26.7170146,26.74120538,25.99085181,27.0018185,27.36832502,26.83064609,26.68660544,26.72581425,26.80895483,26.52123033,26.78778731,26.99353088,26.8898884,26.85315969,27.39636109,27.55580831,26.74392347,26.84084893,26.94847405,25.64856096,25.22104883,26.79596403,27.38361343,27.04549154,27.16437259,26.94757156,27.4306432,27.55796752,-0.045877653,-0.082918345,0.021071186,0.051529204,0.059752035,0.114799192,-0.044168513,0.007761732,0.033615608,-0.008599441,0.025693295,-0.010865849,-0.007968283,61
Tmax High Mountain Monsoon,13.6316916,13.44223596,13.29978815,12.81740622,13.33852023,13.96619323,13.96066374,13.42829294,13.64804026,13.67766311,14.30771091,14.16334068,13.09272986,13.55505181,13.14574299,13.83920046,13.13382412,13.34577702,13.66857556,13.02299455,13.1679348,13.06011688,12.33621174,12.31187484,12.43207411,11.96675512,12.23687918,12.15869556,12.38137145,12.21082834,12.60550824,12.05103466,13.12540627,12.30299964,12.4542373,12.79278987,12.64518249,12.34488448,12.6075166,12.96551837,12.84566157,13.02756478,12.44555226,13.22141913,12.92002136,12.62383272,13.11705273,13.47638643,12.87628619,12.93439113,13.52787572,13.32425444,13.03161603,12.74932667,12.64971712,13.22249362,13.10523775,13.29349898,12.58883477,12.77202602,13.14156343,0.039723292,-0.08685329,-0.090564019,0.027866406,0.02596666,-0.054549457,-0.074281423,0.014151247,0.03986216,-0.017302808,0.017598872,-0.040263117,-0.011086752,61
Tmax High Mountain Postmonsoon,10.05332788,8.839850659,9.674196917,8.891625873,8.777494862,7.73123457,9.475725179,9.054610145,9.339593151,9.625168142,10.28143537,9.681922882,9.75719849,9.3174282,9.673493526,8.838730167,8.58627469,8.718270394,9.390492833,9.074407376,8.744977403,9.326927573,9.408901732,8.445880688,8.398379078,8.792059261,9.381418365,9.06896892,9.298818074,8.865487086,8.716143867,8.941503768,9.147932622,9.345522188,9.29699102,8.675245565,10.35686375,9.508422628,9.79100738,9.709228787,9.892021196,9.366192987,8.693256576,9.440968727,9.323393347,9.779693887,10.15798045,9.811681643,9.546976076,9.762056309,9.943677752,9.573115321,8.959596672,9.379075668,9.461451394,9.992653081,9.357991791,9.495744496,10.60732635,9.744055911,10.21424231,-0.016649312,-0.128037131,0.014475453,0.115751629,0.050274295,0.05207012,0.007682386,0.020715446,0.032251401,0.020402312,0.031777315,0.030716119,0.011392491,61
Tmax High Mountain Premonsoon,10.7446648,9.855870325,10.79067495,10.03253149,10.97756414,9.418667492,10.48920275,11.11414828,10.67659958,10.27333343,12.14697973,12.76605756,11.96273374,11.25643387,10.40923817,11.11560728,10.33493321,11.56491186,11.6877871,10.65879958,11.14571707,11.09526175,11.49154886,11.51506143,10.75282759,10.33427163,10.95740996,11.07027941,9.958478894,11.49239839,11.8326694,10.41473451,11.4480327,12.15558992,11.80937998,10.78337288,10.7737121,12.34634499,11.42863682,11.48694917,11.00475845,11.08385243,11.18211092,11.46691235,11.42472601,11.24966116,11.76083316,11.75851786,13.13403851,11.6508505,12.51265295,12.14475402,11.89867848,11.05479514,12.11535265,11.20712309,11.29478751,11.5477485,10.53549796,11.34097185,12.31612242,0.01776731,-0.151447011,-0.054758823,0.020034879,0.143968869,-0.143956513,-0.003688804,0.023164412,0.042088643,0.017767399,0.032440904,0.021093172,0.018568087,61
Tmax High Mountain Winter,4.298332994,4.852732677,3.977939107,3.990159479,4.570095713,4.684301592,3.942715853,5.002041095,4.372765556,4.920771639,5.640319884,6.716438885,5.190712368,3.506803361,4.297599046,5.41932194,3.708472898,4.837841304,3.731370994,4.873917834,4.042385049,4.647468504,4.137757371,3.654427045,4.396948915,4.037317156,4.435537121,3.657857236,3.593836049,4.281107526,3.301009117,3.424665118,4.222803983,3.524772448,3.686832636,3.712410215,3.886236457,5.785897561,4.124834431,4.464012788,4.585500643,4.171823423,4.031626353,4.339471659,5.499252206,3.927983905,4.215319864,5.67507546,4.979226082,4.480988735,4.748434017,5.567368625,4.797192538,4.966125131,4.200154174,5.523896496,5.267775319,4.440568843,3.716433194,5.279719359,4.261721738,0.044451896,-0.168671015,-0.034198346,0.147234277,0.066574141,-0.046844882,-0.055067621,0.030588207,0.055205326,-0.006287272,0.023061778,-0.019711199,0.003065302,61
Tmax High Mountain annual,9.682004319,9.247672404,9.435649781,8.932930766,9.415918737,8.950099221,9.46707688,9.649773116,9.509249637,9.624234081,10.59411147,10.83194,10.00084361,9.40892931,9.381518433,9.803214963,8.94087623,9.616700145,9.619556622,9.407529836,9.27525358,9.532443678,9.343604925,8.981811,8.995057424,8.782600793,9.252811157,8.988950282,8.808126116,9.212455335,9.113832656,8.707984514,9.486043893,9.33222105,9.311860233,8.990954632,9.415498701,9.996387414,9.487998809,9.656427278,9.581985464,9.412358405,9.088136528,9.617192968,9.791848232,9.395292916,9.812796553,10.18041535,10.13413172,9.707071669,10.18316011,10.1523731,9.67177093,9.537330652,9.606668835,9.986541573,9.756448091,9.694390205,9.362023069,9.784193285,9.983412473,0.021323297,-0.133752112,-0.041261433,0.077721798,0.071695991,-0.048320183,-0.031338865,0.022154828,0.042351882,0.003644908,0.026219717,-0.002041257,0.005484782,61
Tmax Hill Monsoon,28.48309152,28.14864607,28.15751834,27.55173182,28.22959169,28.54179189,28.35850621,27.83412357,27.93360412,27.71199923,28.69713797,28.49936472,27.09033631,27.4582286,27.11873342,28.23854118,27.43531221,27.66534631,27.93530576,27.22429935,27.22337762,27.44179644,26.66114195,26.80828296,26.88336509,25.98753346,26.38992214,26.10556469,26.5379301,26.38360083,26.83718233,26.21084031,27.4680939,26.51591436,26.58879864,27.18142962,27.06929596,26.61492486,26.88045855,27.25158836,26.98184243,27.13386093,26.60823716,27.5869047,27.36955513,26.9532037,27.25239144,27.82312731,27.26799437,27.32410557,27.77825828,27.46095768,27.57755176,27.22522193,26.9222269,27.68428561,27.53798476,27.87455826,27.25785292,27.26922455,27.5324123,-0.044421665,-0.080471828,-0.114023369,0.038811591,0.052568859,-0.01707671,-0.083082247,0.018584914,0.048525203,-0.01734571,0.020460655,-0.041751111,-0.012254508,61
Tmax Hill Postmonsoon,24.86554814,23.51168843,24.57267995,23.65339827,24.10623129,22.71236256,24.21841647,23.52575908,24.02263077,23.77618679,24.63107619,24.42391989,23.95643588,23.51020793,23.88725794,23.4262509,22.83118046,23.16059298,24.12931595,23.45060028,22.73396776,23.78934701,23.8331842,22.66093664,22.73035544,23.00676078,23.74319912,23.18243088,23.48559362,22.95248158,22.68593076,22.86454155,23.21465925,23.56048034,23.62341379,22.70281438,24.9538629,23.92475878,24.23104261,23.94429422,24.17112324,23.41908623,22.69258733,23.53687059,23.48947573,24.02400343,24.53894732,24.01241099,23.77303823,23.67052686,23.96607992,23.4057296,23.13961559,23.44159287,23.65687101,24.61992811,23.76072649,23.93988454,25.39564958,23.94938799,24.4213706,-0.067642874,-0.116144332,0.000665314,0.167883785,0.049164683,0.119400092,-0.022083424,0.017163904,0.036132915,0.012241775,0.030382546,0.022502519,0.003141786,61
Tmax Hill Premonsoon,25.46916051,24.5956238,25.83978103,25.08015777,26.23313528,24.34968796,25.53978278,25.918843,25.64027292,24.48218509,26.74940947,27.51176725,25.94335217,26.52644692,25.19412006,25.78358898,25.02820698,26.30177446,26.03118597,24.68467986,25.25284471,24.84728585,25.88719139,25.92569034,24.79391486,24.32738461,24.81893666,25.03654731,23.54927135,25.3944589,26.02615702,24.15085553,25.58591541,26.56136494,26.09813877,24.49586407,24.59508097,26.93899795,25.483439,25.72280574,24.98563829,25.24423916,25.4598072,25.63372249,25.59013156,25.43106336,25.90396272,25.90949277,27.78703803,25.81502963,26.7705143,26.25027523,26.54040703,25.08491021,26.64920281,25.25811018,25.41847671,25.70690687,24.60725209,25.6048058,26.786778,-0.010178772,-0.18824106,-0.096070215,0.035528539,0.170692087,-0.160911712,-0.046226468,0.029741832,0.062069513,0.005054074,0.041621737,0.003041443,0.007074981,61
Tmax Hill Winter,18.82748847,19.52688303,18.89050993,18.99042183,18.97421629,19.76559603,18.46617876,19.50880404,18.65943595,19.34230453,19.63762179,21.49596876,19.47435017,17.30684966,18.5600621,19.77455932,18.53638944,19.32340747,17.96369018,19.31827388,18.42648963,18.23025576,18.47522824,17.99038271,18.79226907,18.54745809,18.8240797,17.80043188,17.82237836,18.56367515,17.17623792,17.39854463,18.40021871,17.44554513,17.7573977,17.74382418,18.02901626,20.55487517,18.42807533,19.14864422,18.97132498,18.32467005,18.33149207,18.62391436,20.2914761,18.01618705,18.58022307,20.3331899,19.56184298,18.82116938,18.9187129,19.7142832,18.77429397,19.34267274,18.31904802,20.03050274,19.87195084,18.89209249,17.9561237,19.98944562,18.16016948,0.005280825,-0.142131383,-0.016594994,0.227081781,0.090369311,0.007380361,-0.078021259,0.035154664,0.074175798,-0.009532591,0.032131908,-0.030843016,-0.000761042,61
Tmax Hill annual,24.41132216,23.94571033,24.36512231,23.81892742,24.38579364,23.84235961,24.14572106,24.19688242,24.06398594,23.82816891,24.92881135,25.48275516,24.11611863,23.70043328,23.69004338,24.3057351,23.45777227,24.1127803,24.01487446,23.66946335,23.40916993,23.57717127,23.71418645,23.34632316,23.29997611,22.96728423,23.4440344,23.03124369,22.84879336,23.32355411,23.18137701,22.65619551,23.66722181,23.52082619,23.51693723,23.03098306,23.66181402,24.50838919,23.75575387,24.01683314,23.77748224,23.53046409,23.27303094,23.84535303,24.18515963,23.60611439,24.06888114,24.51955524,24.5974784,23.90770786,24.35839135,24.20781143,24.00796709,23.77359944,23.88683718,24.39820666,24.1472847,24.10336054,23.80421957,24.20321599,24.2251826,-0.029240622,-0.131747151,-0.056505816,0.117326424,0.090698735,-0.012801992,-0.057353349,0.025161328,0.055225857,-0.002395613,0.031149211,-0.011762541,-0.000699696,61
Tmax Koshi Basin Monsoon,27.65801944,27.37546508,27.33018069,26.76856003,27.39032138,27.81542764,27.69575995,27.1685184,27.31104179,27.17934999,28.03740354,27.85874296,26.57083242,26.97252059,26.60803948,27.57525872,26.80705068,27.03061362,27.3194839,25.9570139,25.83110387,25.98870889,25.16441851,25.27443304,25.50160541,25.05102604,25.37335736,25.41249267,25.86706885,25.40173757,26.23390686,25.38200973,26.68772183,25.52886649,25.88727852,26.20893941,26.00223846,25.68597337,26.16741608,26.40876202,26.07526136,26.57545757,25.65394907,26.51628737,26.07178615,25.844753,26.54095859,26.97189808,26.19985821,26.31468242,27.48702956,26.84355777,25.57965955,25.6119589,26.15463225,26.69611656,26.71524769,26.48211405,25.55209774,25.74573469,26.38910932,-0.014306628,-0.119567302,-0.021995227,0.023058033,0.03613527,-0.099080308,-0.077240129,0.022384187,0.039636154,-0.014599873,0.033649795,-0.035202087,-0.020126656,61
Tmax Koshi Basin Postmonsoon,24.05449826,22.7508807,23.73075707,22.86040341,23.11032299,21.84086149,23.43225064,22.83677683,23.25781468,23.20177748,23.98558105,23.63800254,23.36476934,22.92085256,23.29039226,22.6956198,22.22316945,22.48192752,23.34453452,22.33841346,21.6402566,22.56560355,22.38653063,21.61999219,21.51963661,22.12593044,22.99725928,22.65779832,22.89838711,22.33342081,22.17638335,22.37572599,22.74466258,23.03799853,23.00469924,22.32425228,24.08163446,23.24116494,23.44554677,23.2390133,23.52895847,22.87979549,22.17246632,23.01346375,22.86022849,23.43979031,23.92160793,23.62273572,23.11099276,23.63312123,24.09873307,23.71064317,22.06361294,22.85954354,23.00528826,23.45807984,22.62586534,22.73054995,23.81619127,23.09501172,23.73160945,-0.049392547,-0.145338275,0.088863009,0.133244774,0.07946174,-0.03156493,0.001513341,0.029816578,0.036409236,0.025454605,0.050563567,0.039849899,0.005407534,61
Tmax Koshi Basin Premonsoon,24.68950678,23.8105094,24.94395096,24.18485731,25.26341245,23.49612011,24.64342519,25.11048647,24.77501878,23.88707765,26.01344251,26.72452115,25.4299282,25.55155541,24.39285444,25.02416132,24.25972742,25.51769469,25.3879248,24.15505692,24.36814884,23.71463104,24.65553267,24.68066786,23.78845286,23.46289822,23.92020693,24.45021653,23.09000131,24.91171178,25.50724656,23.7249359,25.02793946,25.93361345,25.41633669,24.07352966,24.22338041,26.07429947,24.94346507,25.23677368,24.46399348,24.66647707,24.55397421,24.90032876,24.86340139,24.61663789,25.17529938,25.43419202,26.86997877,25.07969829,26.54846802,25.79732515,25.25664182,23.96848918,25.64096301,24.6135973,24.69951552,24.81567792,23.38037666,24.46298823,25.50049637,-0.000177016,-0.175072663,-0.018871878,0.029416619,0.157242986,-0.222588266,-0.026609989,0.031335244,0.05335074,0.015840088,0.050056481,0.019768797,0.006847861,61
Tmax Koshi Basin Winter,18.11774598,18.76524764,18.04354511,18.11207267,18.30922314,18.85824592,17.75847362,18.80707572,18.0364776,18.6710796,19.1182269,20.69661859,18.85247717,16.85805151,17.94576743,19.1270612,17.71972194,18.62926537,17.36018384,18.63888067,17.38066498,17.21614477,17.34014401,16.69339102,17.63272402,17.33382097,18.10150055,16.94920387,16.82559354,18.0601459,16.64170107,16.88753249,17.8323491,17.03736568,17.1887542,17.20695466,17.38679071,19.67690291,17.82183745,18.38516212,18.20837214,17.77301837,17.70824293,17.96173916,19.47897374,17.36249739,17.72421709,19.61318211,18.66380086,17.94194698,18.49637967,19.80792206,18.89572296,18.48884651,17.90604236,19.39928,18.96233599,17.89012998,16.8517866,18.81031273,17.98567826,0.019299945,-0.151629777,0.032437543,0.197094114,0.063838208,-0.121101876,-0.0687558,0.04629452,0.068982266,-0.000557371,0.043114711,-0.01719261,0.001355168,61
Tmax Koshi Basin annual,23.62994262,23.17552571,23.51210846,22.98147336,23.51831999,23.00266379,23.38247735,23.48071435,23.34508821,23.23482118,24.2886635,24.72947131,23.55450178,23.07574502,23.0592634,23.60552526,22.75241737,23.4148753,23.35303176,22.77234124,22.30504357,22.37127206,22.38665645,22.06712103,22.11060472,21.99341892,22.59808103,22.36742785,22.1702627,22.67675401,22.63980946,22.09255103,23.07316824,22.88446104,22.87426716,22.453419,22.92351101,23.66958517,23.09456634,23.31742778,23.06914636,22.97368712,22.52215813,23.09795476,23.31859744,22.81591965,23.34052075,23.91050198,23.71115765,23.24236223,24.15765258,24.03986204,22.94890932,22.73220953,23.17673147,23.54176842,23.25074113,22.97961797,22.40011307,23.02851184,23.40172335,-0.011144061,-0.147902004,0.020108361,0.095703385,0.084169551,-0.118583845,-0.042773144,0.032457632,0.049594599,0.006534362,0.044346139,0.001806,-0.001629023,61
Tmax Middle Mountain Monsoon,21.7646047,21.46831446,21.43736565,20.86405403,21.50066499,21.89588435,21.75937661,21.23289182,21.36402153,21.2085292,22.10022295,21.91650313,20.59653198,20.98927419,20.63140699,21.63901731,20.86153903,21.08681492,21.37067939,20.5235086,20.5207008,20.38393213,19.30848854,19.55811881,19.74191532,19.39474253,19.75488824,19.58153803,19.98082597,19.75286645,20.28178125,19.6172437,20.85225931,19.87670307,20.0287261,20.51357689,20.3735009,19.97853082,20.29260718,20.63185374,20.37487067,20.61145405,19.98560398,20.9009602,20.61670376,20.265227,22.11474195,22.32173922,21.13031225,20.8942267,22.48202826,23.30368852,20.9268349,20.54508197,20.3063376,21.92745314,22.0483664,20.45327869,19.11272607,20.06557377,22.43144035,-0.022278255,-0.090517429,-0.049235571,0.033241203,0.14107125,-0.286797817,-0.076843798,0.049208929,0.074784962,-0.012299155,0.04933763,-0.034257537,-0.003779774,61
Tmax Middle Mountain Postmonsoon,18.15737176,16.8404548,17.84180283,16.95849764,17.2621296,15.95973677,17.52853718,16.90733831,17.34844982,17.24201083,18.04463124,17.73422331,17.40957078,16.96504221,17.33656994,16.77720597,16.27229736,16.54975809,17.4404546,16.75326138,16.11122834,16.97720736,16.9285344,15.84067811,15.27661082,16.39136497,17.13171856,16.66639631,16.94200795,16.41979832,16.19944737,16.39126978,16.71953925,17.02648072,17.0472768,16.23559457,18.27091341,17.3175286,17.59634397,17.36509348,17.59826042,16.91073274,16.19832924,17.02430734,16.94009774,17.47063735,18.77005095,18.46178274,17.84302414,19.21943115,20.22985039,20.99672131,17.6204918,18.16721311,16.85362378,17.0785487,17.50804379,17.6442623,18.19618712,18.31885246,19.67131148,-0.054223516,-0.124941646,0.037623751,0.150532708,0.231524936,-0.23294819,-0.011140486,0.056575202,0.059079486,0.019226907,0.054550841,0.030896553,0.02332402,61
Tmax Middle Mountain Premonsoon,18.78406953,17.90651762,19.06926627,18.31003243,19.40828761,17.61024836,18.76888014,19.21264702,18.89224047,17.93278992,20.09644112,20.82109365,19.45401837,19.69779875,18.49313799,19.11337011,18.35133231,19.61342904,19.44638364,18.18343505,18.65612926,17.25823152,19.03897437,18.86752649,17.56500143,17.75599216,18.26368641,18.53325297,17.14312271,18.92638037,19.4968728,17.72586316,19.05786265,19.96874641,19.5145117,18.07598285,18.16691151,20.25855003,18.97458317,19.19329044,18.49438859,18.70759792,18.82727538,19.06054252,19.01872142,18.83681399,20.30980329,19.57612083,21.8586565,19.80376175,21.26226047,21.8875,19.28454921,18.82221457,19.8326087,19.22391304,18.59728261,18.87080058,16.20143384,18.67445652,20.06074115,-0.002824539,-0.178558415,-0.015288717,0.031322437,0.249405276,-0.402696566,-0.028800901,0.049073434,0.075298762,0.015532111,0.06365722,0.01770879,0.012463227,61
Tmax Middle Mountain Winter,12.19380282,12.85504083,12.1559255,12.23276069,12.37343456,12.98661066,11.83399115,12.88101116,12.08956217,12.73694061,13.1438976,14.79639511,12.90527443,10.86503484,11.99655866,13.18664159,11.82408245,12.70119269,11.40811934,12.70690387,11.74279456,11.52162555,12.22039038,11.3924298,12.39314423,11.7090545,12.2130426,11.20487785,11.17811276,12.0216903,10.70126749,10.91098423,11.86272976,10.99101159,11.23916008,11.2399263,11.48092549,13.83935145,11.85898883,12.47447667,12.35160628,11.79533392,11.75915305,12.04553269,13.58660531,11.47541383,12.09552859,14.93361537,13.6401773,12.72025234,14.92704541,18.07460715,17.16413618,16.08166667,13.82731363,14.35207987,14.09248759,11.90554231,10.98985581,14.3876259,14.85098088,0.015589001,-0.149115496,-0.019359648,0.205748674,0.182683794,-0.522325911,-0.072294599,0.100112623,0.091661019,-0.008391562,0.043467967,-0.027555636,0.031113687,61
