naming,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,1962 to 1971,1972 to 1981,1982 to 1991, 1992 to 2001,2002 to 2011,2012 to 2021,1977 to 1994, 1980 to 2018,1988 to 2010, 1976 to 2005,1981-2010,1977-2000,1962 - 2022,Total count
Tavg Koshi Basin Monsoon,23.28990673,22.98878245,23.1572218,22.47155787,22.74821759,23.15141296,23.2629814,22.97798461,22.9512489,22.82142741,23.29954397,23.23675469,22.40926926,22.83598918,22.73457472,23.41041183,22.95319611,22.80430677,22.91594232,21.88365976,21.72237852,21.7070916,21.1567192,21.38104524,21.46691403,21.13751356,21.18142036,20.72644306,21.94185708,21.31950192,21.97184278,21.39693579,22.06573808,21.57563241,21.56414876,21.64510407,21.91994275,21.53696853,22.05468034,21.5735696,21.58419735,22.20807381,21.46081741,21.97691114,21.76536571,21.69781025,21.79563526,22.19809154,21.32471975,21.47379884,21.88858486,21.53075755,21.35006167,21.15489534,21.95415318,22.19776344,22.21476086,22.22824265,21.84084515,21.78746578,22.24353914,-0.015744053,-0.072642419,-0.03067992,-0.003092171,-0.024861076,0.054997898,-0.086309713,0.004361222,0.019362389,-0.028069167,0.013785116,-0.041115869,-0.023361307,61
Tavg Koshi Basin Postmonsoon,17.75447194,17.21836621,18.09808205,17.14213324,16.42843477,15.55834812,17.1623829,17.08539002,16.83995334,17.14138027,17.42522236,17.19824995,17.63274243,17.08217829,17.52890742,17.30499554,16.79941389,17.0124869,16.92478827,15.81575711,15.46016392,16.20658317,15.82375574,15.67471612,15.86943336,16.70150093,16.6063303,16.48616746,16.83022012,16.45380017,16.45579154,16.5960946,16.23955321,16.81861864,16.62744911,15.58628799,18.09884299,16.88885129,17.10565294,16.76853856,17.18312814,17.09422658,15.97957685,16.49890642,16.54221734,17.29488002,16.76360988,16.95881971,16.81954945,16.99621771,16.33981935,16.50424722,16.00996905,16.74058959,16.96302903,17.30807517,16.35657933,17.34283383,17.82166636,17.60307974,17.42345514,-0.085087957,-0.124684253,0.122710022,0.075318993,0.017200325,0.160294647,-0.012839357,0.018275435,0.015873349,0.007056815,0.03675224,0.017819102,-0.000894966,61
Tavg Koshi Basin Premonsoon,18.53488818,17.90328533,18.81519196,18.14501187,18.86090862,16.97793684,18.58748329,18.93949714,18.64892461,17.83221126,19.3370493,19.19529644,18.79272107,18.38031524,18.61151538,18.54999627,18.15002112,19.0020879,18.87477288,18.02424846,17.38671977,16.90028946,18.49177594,18.25260529,17.0738365,17.05222413,17.65490459,17.44714183,16.52107733,18.25442038,18.75447296,17.44786166,18.28241423,18.88361235,18.61191246,17.31925478,17.85010259,19.26048865,18.40574642,18.04839006,17.89632263,18.23803184,18.42496717,18.13607056,18.1900898,18.33488464,18.41032486,18.58775637,19.93526347,18.0905992,18.71730213,18.51269918,18.38741028,17.90874161,18.94980235,18.28258585,18.32492682,18.27834825,17.49322555,18.4651036,19.71724567,-0.006294842,-0.083420847,-0.011412511,0.005137166,0.093397662,-0.056788322,-0.041232294,0.025328991,0.051692879,0.003076465,0.044346348,0.005812191,0.002100244,61
Tavg Koshi Basin Winter,12.56918221,13.00934653,12.62550751,12.74990357,12.66122888,12.31407966,12.07310671,12.78428568,12.19505228,12.3444364,12.86182355,13.82115768,12.34021912,10.93552556,12.04993217,12.8874264,11.49515572,12.32101957,11.63822751,12.87256168,10.36766098,9.925549038,10.42518546,10.28788403,10.92468257,10.99718902,11.56179907,10.28830208,10.21481105,11.79030089,10.33795596,11.29995047,11.17641751,10.40637391,10.92769377,10.30775828,10.83219175,12.33023124,11.14034465,11.1841261,11.35922744,11.56326357,11.40209516,11.6307498,12.31874544,10.9895218,10.69692684,12.4850235,11.83687078,10.69936571,10.86577026,11.77351737,11.64235902,11.53059437,11.14037036,12.56245475,11.98501659,11.20756565,10.66377663,12.37824529,11.89486611,-0.056402552,-0.077354431,0.109323806,0.078332589,-0.016603369,0.039124087,-0.07230491,0.024783027,0.047319734,-0.014604514,0.033509241,-0.034578847,-0.017561335,61
Tavg Koshi Basin annual,18.03711226,17.77994513,18.17400083,17.62715164,17.67469746,17.00044439,17.77148858,17.94678936,17.65879478,17.53486383,18.2309098,18.36286469,17.79373797,17.30850207,17.73123242,18.03820751,17.34944671,17.78497528,17.58843274,17.14905675,16.2342308,16.18487832,16.47435909,16.39906267,16.33371661,16.47210691,16.75111358,16.23701361,16.3769914,16.95450584,16.88001581,16.68521063,16.94103076,16.92105933,16.93280103,16.21460128,17.17527002,17.50413493,17.17660609,16.89365608,17.00571889,17.27589895,16.81686415,17.06065948,17.20410457,17.07927418,16.91662421,17.55742278,17.47910086,16.81499536,16.95286915,17.08030533,16.84745001,16.83370523,17.25183873,17.5877198,17.2203209,17.2642476,16.95487842,17.5584736,17.81977652,-0.040882351,-0.089525488,0.047485349,0.038924144,0.017283386,0.049407077,-0.053171569,0.018187169,0.033562088,-0.0081351,0.032098236,-0.013015856,-0.009929341,61
Tavg Middle Mountain Monsoon,17.44355171,17.12713847,17.29635099,16.61287119,16.90515368,17.28464319,17.39006402,17.07221982,17.07125625,16.9109242,17.41892908,17.36006891,16.51646508,16.92344514,16.81408962,17.52523296,17.05361133,16.90211056,17.04171535,16.41235452,16.41412911,16.16172907,15.67843084,16.0559769,16.04891083,15.67745098,15.77103942,15.30369164,16.18891509,15.80865692,16.07703619,15.74968887,16.44960901,16.05676071,15.92616946,16.05759302,16.38363544,15.96518212,16.25956509,15.8936778,16.00105822,16.3302855,15.85739777,16.40735396,16.23747763,16.18101348,16.87192191,17.40919294,15.10657939,15.99868342,15.45327438,16.06762295,16.45294816,14.98709016,16.30787678,17.05870471,17.20392674,16.96864754,16.17107652,16.28463115,18.17918691,-0.021784309,-0.050047131,-0.050660096,0.003689826,0.00308424,0.110219518,-0.076245124,0.00563864,0.025540272,-0.025837491,0.011421498,-0.037680806,-0.013600036,61
Tavg Middle Mountain Postmonsoon,11.92714438,11.36908835,12.27048416,11.29218333,10.65527621,9.718530947,11.31855449,11.19344483,11.01191296,11.26532558,11.58362767,11.34716776,11.77209961,11.22828761,11.67334983,11.44371622,10.9348544,11.15124846,11.04771483,10.35727059,9.926801006,10.94871654,10.68593846,10.33920241,10.32506884,10.99205289,11.03165898,10.68604353,10.96964434,10.60171794,10.57999616,10.89372246,10.34363637,11.10476623,10.97703925,9.806255008,12.45985085,11.21729592,11.46762961,11.05614687,11.18915185,11.21626765,10.09388001,10.76610495,10.73662206,11.6335823,10.74031515,12.06285709,11.12614681,12.66845813,11.20323132,11.825,10.95163934,11.82827869,11.46144573,11.70094492,11.77861206,13.09016393,13.4670473,13.83688525,13.58647541,-0.089087426,-0.105136807,0.054337128,0.094336205,0.141499315,0.278668719,-0.020129617,0.031826933,0.022401437,0.001716058,0.028168943,0.01422614,0.018073264,61
Tavg Middle Mountain Premonsoon,12.7057517,12.06978662,12.99714051,12.32803602,13.03222394,11.18061899,12.76252974,13.08305683,12.80712936,11.96072361,13.50488029,13.37798098,12.93970861,12.61072844,12.7519153,12.70053148,12.27655839,13.12633929,12.9930105,12.1331878,11.830223,11.03946527,13.66561301,13.0593029,11.34490206,11.54587682,12.22264803,12.13088498,11.10220127,12.55743659,12.97791472,11.54903741,12.59002529,13.25150141,12.99798184,11.59451416,12.12475135,13.69534696,12.52474894,12.3497458,12.19266175,12.36723877,12.86846918,12.43974621,12.50632772,12.65152731,13.4596762,13.17129771,14.91331894,12.9123259,14.07957567,13.6236413,13.03283539,12.73605993,13.19347826,12.78016304,12.95543478,12.9226198,11.83386471,13.92173913,15.28251909,-0.010075127,-0.091883432,-0.018173065,0.01163243,0.175870732,-0.086395355,-0.029766969,0.035014982,0.060636681,0.003490374,0.04599534,0.007162012,0.014409772,61
Tavg Middle Mountain Winter,6.680634467,7.143426328,6.764422652,6.895041509,6.759993251,6.472483504,6.157514266,6.856848047,6.277311833,6.433717477,6.946217796,7.980324477,6.448421195,5.041812669,6.164889121,6.981356155,5.634493145,6.394870707,5.712459689,6.900473991,5.028444875,4.587479663,5.738624679,5.459805131,5.950936111,5.903335024,6.302039944,5.101158169,5.223050953,5.945635112,4.769860976,5.370929172,5.663014709,4.744030031,5.35263098,4.794045037,5.32803637,6.884475068,5.359640712,5.73585128,5.809385184,5.611027405,5.554174347,5.82694412,6.782696103,5.382430523,4.879260949,7.148728698,6.868287761,5.367022629,6.288073598,8.249153597,8.463784563,8.297222222,6.290030443,7.625947402,7.316521574,5.986660043,5.618678574,8.971035173,9.824934885,-0.062563751,-0.084606011,0.072699891,0.096458354,0.051812219,-0.050051385,-0.051553366,0.049464319,0.041640205,-0.017673099,0.0192889,-0.031923477,0.010386907,61
Tavg Middle Mountain annual,12.18927057,11.92735994,12.33209958,11.78203301,11.83816177,11.16406916,11.90716563,12.05139238,11.7919026,11.64267272,12.36341371,12.51638553,11.91917362,11.45106846,11.85106097,12.16270921,11.47487932,11.89364225,11.69872509,11.45082172,10.7998995,10.68434764,11.44215175,11.22857183,10.91745446,11.02967893,11.33184659,10.80544458,10.87095291,11.22836164,11.10120201,10.89084448,11.26157134,11.2892646,11.31345538,10.56310181,11.5740685,11.94057502,11.40289609,11.25885544,11.29806425,11.38120483,11.09348033,11.36003731,11.56578088,11.4621384,11.48779355,12.44801911,12.00358323,11.73662252,11.75603874,12.44135446,12.22530186,11.96216275,11.8132078,12.29144002,12.31362379,12.24202283,11.77266678,13.25357267,14.21827907,-0.045877653,-0.082918345,0.014550965,0.051529204,0.093066627,0.063110374,-0.044423769,0.030486219,0.037554649,-0.009576039,0.02621867,-0.012054033,0.007317477,61
