Station,Column,Slope,Intercept,Trend,P-Value,Z-Value
1016,Tmax,-0.008698847193703533,17.072280525762675,decreasing,0.04853385993714898,-1.9726639662623369
1016,Tmin,0.0002838574072650817,6.055216821407429,no trend,0.985105362454846,0.01866874416021139
1016,Tavg,0.0010339611438251928,11.451115281698124,no trend,0.7604249340820253,0.3049228212834527
1024,Tmax,-0.040080753164786743,24.4024225949436,decreasing,1.0343512422128498e-06,-4.884988055255313
1024,Tmin,-0.017668404949652633,12.84175709221705,decreasing,0.00017513742291486167,-3.752417576202489
1024,Tavg,-0.030896329250247125,18.582705828812447,decreasing,2.4681114769720125e-06,-4.71074644309334
1036,Tmax,-6.139287043141818e-05,28.163911945564998,no trend,0.9950348644672207,-0.006222914720070463
1036,Tmin,-0.050486076150361506,16.309479493886744,decreasing,4.003900159643692e-06,-4.6111798075722135
1036,Tavg,-0.02513351821520228,22.213956882564304,decreasing,0.0019828531841965535,-3.09278861587502
1103,Tmax,0.025722283700161885,19.7715204930935,increasing,4.115449655150982e-05,4.100900800526436
1103,Tmin,-0.016014311116383496,9.029744401984656,decreasing,0.009808463080468899,-2.582509608829242
1103,Tavg,0.01018731729996761,14.16681361329972,no trend,0.052950245122521666,1.935326477941914
1123,Tmax,0.004192553058194532,30.376293567706217,no trend,0.5134945423407333,0.6534060456073986
1123,Tmin,-0.0472941774026861,20.482051111613092,decreasing,4.176659018639839e-13,-7.249695648882089
1123,Tavg,-0.020688337609502852,25.266328102736285,decreasing,8.55217931139407e-07,-4.922325543575736
1124,Tmax,0.007339505858785228,22.13196732686528,no trend,0.16522537503535362,1.3877099825757133
1124,Tmin,0.003266477542273898,11.282676366228777,no trend,0.40085597145790164,0.8400934872095125
1124,Tavg,0.00734299585540798,16.62902235496124,no trend,0.11254814977026184,1.586843253617968
1201,Tmax,-0.0009708844747150948,11.395179001371659,no trend,0.8082427083225769,-0.24269367408274806
1201,Tmin,-0.017697250476803362,0.653554078466164,decreasing,0.00787962863728664,-2.6571845854700875
1201,Tavg,-0.006403235957049707,5.850140016283524,no trend,0.27614944237166217,-1.0890100760123311
1206,Tmax,0.04405906300521055,20.155037672583408,increasing,6.622849648696416e-07,4.9721088613363
1206,Tmin,0.012413388956459326,12.262940797059645,increasing,0.00254353505086069,3.0181136392341745
1206,Tavg,0.027665514173458174,16.044364579590777,increasing,9.527851840829271e-10,6.117125169829265
1212,Tmax,-0.03304276403949416,33.37538257835377,decreasing,1.6143356169173728e-05,-4.312479901008831
1212,Tmin,-0.06288879650541648,21.626626052519775,decreasing,1.0239809660861354e-05,-4.412046536529958
1212,Tavg,-0.0500162516810809,27.506830137866448,decreasing,5.7194179969854986e-06,-4.536504830931367
1218,Tmax,-0.005728669563563245,8.892286917299629,no trend,0.33476936056500506,-0.9645517816109218
1218,Tmin,-0.005464734695836396,-2.4849566519369493,no trend,0.3285703350658369,-0.9769976110510626
1218,Tavg,-0.0033635169284324693,3.085096385353759,no trend,0.5544018998020657,-0.591176898406694
1219,Tmax,0.0160634352411535,17.78824944539423,no trend,0.14025804147046061,1.4748307886566998
1219,Tmin,-0.02546927432373347,7.685071634682837,decreasing,8.613389305822672e-05,-3.926659188364462
1219,Tavg,0.0026385162161755163,12.611347920834433,no trend,0.5796887543358515,0.5538394100862712
1222,Tmax,-0.016967990417395502,23.47967948722506,decreasing,4.250661392202204e-06,-4.598733978132072
1222,Tmin,0.013873026916480426,11.912396048755799,no trend,0.16146666487984973,1.4001558120158542
1222,Tavg,0.0027464799562202987,17.696417831936866,no trend,0.43664899277465175,0.7778643400088079
1225,Tmax,0.009945511743746941,9.224596876784036,no trend,0.06279340687715007,1.8606515013010685
1225,Tmin,-0.012202320275353288,-1.1739730047108705,decreasing,0.028042672425591553,-2.1966888961848734
1225,Tavg,0.0018115914176644677,3.872473525134807,no trend,0.6496325090676913,0.4542727745651438
1303,Tmax,-0.013306661601658765,25.525108308510394,decreasing,0.0006345958335582935,-3.4163801813186843
1303,Tmin,-0.021138865882256996,15.184477238019813,decreasing,0.017154646982071586,-2.3833763377869874
